#,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)","Model checking/Formal verification (e.g., VeriSmart)","Automated patcher/Bytecode hardening (e.g., sGuard)",Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",Other,Low false positives (tool does not wrongly indicate that there is a vulnerability),Low false negatives (tool does not miss vulnerabilities that it should detect),"Ease of use (e.g., simple CLI, integrated into IDE)",Documentation,"Report quality (i.e., detail of vulnerabilities detected)",Reentrancy,Absence of coding logic or sanity check,Logic errors,Oracle manipulation,Token standard incompatibility,Function/State Visibility Error,Improper asset locks or frozen asset,Unhandled or mishandled exception,Timestamp Dependence,Integer Overflow and Underflow,Other,Reentrancy,Absence of coding logic or sanity check,Logic errors,Oracle manipulation,Token standard incompatibility,Function/State Visibility Error,Improper asset locks or frozen asset,Unhandled or mishandled exception,Timestamp Dependence,Integer Overflow and Underflow,Other,Do you find security tools helpful when auditing smart contracts?,Static Analyzer,Fuzzer,Symbolic Executor,Formal Verification tool,Runtime monitor tool,Manual Auditing,Runtime monitoring,"Running/Extending Tests (e.g., unit testing, integration testing)","Using offline tools (e.g., static analyzers and fuzzers)",Other,Does the organization you work for develop in-house automated tools?,Slither,Manticore,Mythril,Echidna,Foundry's propert-based fuzzer,Remix-analyzer,Oyente,Ethlint,Solhint,Maian,Securify2,MythX (Consensys),Certora’s prover,Other linter (similar to Ethlint),Other static analyzer (similar to Slither),Other fuzzer (Similar to Echidna),Other symbolic execution tool (Similar to Mythril),"Other formal verification / model checking tool (e.g., Dafny or Act)","Other runtime monitoring (e.g., forta)",Other,"If the organization you work for runs any tool that requires specifications (e.g., for formal verification), who is going to write them?",Other,What is the percentage of audit time spent on running/fine-tuning/validating the results of tools?,Start Date (UTC),Submit Date (UTC),Network ID,Tags
nx5xwiih2p7pknx5xwlyarudxdk9ex7y,"IDE (e.g., Remix)",,"Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)","Model checking/Formal verification (e.g., VeriSmart)",,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree,,,,,,,,,,,Signed message replay attacks,,,,,,,,,,,Signed message replay attacks,2,,,,,,Manual Auditing,,"Running/Extending Tests (e.g., unit testing, integration testing)","Using offline tools (e.g., static analyzers and fuzzers)",,Yes,Slither,,Mythril,,,,,,,,,MythX (Consensys),,,,,,,,,Developers of the dapp,,0%-20%,2023-03-10 14:23:23,2023-03-10 14:29:25,1dc9a0fbcb,
9kqk3d1er8gjoeh52z9kqk3ddxkr7v4m,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)",,,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",Custom tools,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,,,Logic errors,Oracle manipulation,,,Improper asset locks or frozen asset,,,,,,,Logic errors,,,,,,,,,5,Static Analyzer,Fuzzer,,,,Manual Auditing,Runtime monitoring,"Running/Extending Tests (e.g., unit testing, integration testing)","Using offline tools (e.g., static analyzers and fuzzers)",,Yes,Slither,Manticore,Mythril,Echidna,Foundry's propert-based fuzzer,,,Ethlint,Solhint,,,,,,,,,,,,Auditors,,21%-40%,2023-03-10 11:32:01,2023-03-10 11:39:52,c38368a574,
cetv7cagkr7299hnys8cetvo95nhpozv,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)",,"Symbolic execution (e.g., Mythril)",,,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,Logic errors,,Token standard incompatibility,,,,,Integer Overflow and Underflow,,,Absence of coding logic or sanity check,,Oracle manipulation,,Function/State Visibility Error,Improper asset locks or frozen asset,Unhandled or mishandled exception,,,,4,Static Analyzer,,Symbolic Executor,,Runtime monitor tool,Manual Auditing,Runtime monitoring,,"Using offline tools (e.g., static analyzers and fuzzers)",,Yes,,,,,,,,,,,,,,,Other static analyzer (similar to Slither),,Other symbolic execution tool (Similar to Mythril),,"Other runtime monitoring (e.g., forta)",,,,61%-80%,2023-03-09 19:26:14,2023-03-09 19:30:45,b691125f63,
rli7e29d572zgfmgorli7e295cfsa1do,"IDE (e.g., Remix)",,"Static analysis (e.g., slither)",,"Symbolic execution (e.g., Mythril)",,,,"Developers toolkits (e.g., hardhat/foundry)",,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,,Absence of coding logic or sanity check,,,,,Improper asset locks or frozen asset,,,,,,Absence of coding logic or sanity check,Logic errors,Oracle manipulation,,,Improper asset locks or frozen asset,,,,,4,,,,,,Manual Auditing,,"Running/Extending Tests (e.g., unit testing, integration testing)","Using offline tools (e.g., static analyzers and fuzzers)",,Yes,Slither,,Mythril,Echidna,,,,,,,,MythX (Consensys),,,,,,,,,,,0%-20%,2023-03-09 12:11:35,2023-03-09 12:19:48,6517e3a8bd,
cms32x9ay4ue3ch1cmq4voic89b1mcc4,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)",,"Symbolic execution (e.g., Mythril)",,,,"Developers toolkits (e.g., hardhat/foundry)",vscode: Solidity-Visual-Developer,Strongly agree,Neither agree nor disagree,Agree,Disagree,Disagree,,,Logic errors,,,,,,,,,,,Logic errors,,,,,,,,,2,Static Analyzer,,Symbolic Executor,,,Manual Auditing,,,"Using offline tools (e.g., static analyzers and fuzzers)",,Yes and it open-source some of them,,,,,,,,,,,,MythX (Consensys),,Other linter (similar to Ethlint),Other static analyzer (similar to Slither),Other fuzzer (Similar to Echidna),,,,,,,0%-20%,2023-03-09 11:37:19,2023-03-09 11:47:12,29d149f878,
m0wuzpxzexstq605h3cm0wuzpyw4rml3,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)","Model checking/Formal verification (e.g., VeriSmart)","Automated patcher/Bytecode hardening (e.g., sGuard)",Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,,,Logic errors,,,,,,,,,,,Logic errors,,,,,,,,,,Static Analyzer,Fuzzer,Symbolic Executor,,,Manual Auditing,,"Running/Extending Tests (e.g., unit testing, integration testing)","Using offline tools (e.g., static analyzers and fuzzers)",,Yes and it open-source some of them,Slither,,Mythril,,,Remix-analyzer,,Ethlint,Solhint,,,MythX (Consensys),,,,,,,,We (ConsenSys Diligence) use our fuzzer Harvey,Auditors and developers,,0%-20%,2023-03-09 10:57:04,2023-03-09 11:02:24,4d7035b215,
lx1riqbe59rxn8xso9lx1ri8xgeyptc5,"IDE (e.g., Remix)",,"Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)",,,,"Developers toolkits (e.g., hardhat/foundry)",gigahorse,Disagree,Strongly agree,Agree,Agree,Agree,Reentrancy,,Logic errors,Oracle manipulation,,Function/State Visibility Error,Improper asset locks or frozen asset,Unhandled or mishandled exception,,Integer Overflow and Underflow,,,,Logic errors,Oracle manipulation,,,,,,,,3,Static Analyzer,,,,,Manual Auditing,,"Running/Extending Tests (e.g., unit testing, integration testing)","Using offline tools (e.g., static analyzers and fuzzers)",,Yes and it open-source some of them,,,,,,,,,,,,,,,Other static analyzer (similar to Slither),,,,,,,,0%-20%,2023-03-06 18:36:45,2023-03-06 18:45:39,752d3e67d3,
57aqg94rwh35qln57aqpjs4urcj8ckre,"IDE (e.g., Remix)",,"Static analysis (e.g., slither)",,,,,,,,Strongly agree,Agree,Agree,Agree,Agree,Reentrancy,Absence of coding logic or sanity check,,,,,,,,,,,,Logic errors,,,,,,,,,3,Static Analyzer,,,,,Manual Auditing,,"Running/Extending Tests (e.g., unit testing, integration testing)","Using offline tools (e.g., static analyzers and fuzzers)",,Yes and it open-source some of them,,,,,,,,,,,,,,,,,,,,Analyses running on top of the gigahorse framework,,,0%-20%,2023-03-02 13:11:17,2023-03-02 13:14:25,0e166383cc,
7dyw48rsritga2n13n7dywlp7n5qgqia,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)",,,,"Developers toolkits (e.g., hardhat/foundry)",Tenderly,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,Logic errors,Oracle manipulation,,,,Unhandled or mishandled exception,Timestamp Dependence,,,,,Logic errors,Oracle manipulation,,,,,Timestamp Dependence,,,4,,,,,,Manual Auditing,,"Running/Extending Tests (e.g., unit testing, integration testing)","Using offline tools (e.g., static analyzers and fuzzers)",,No,Slither,,,,Foundry's propert-based fuzzer,,,,Solhint,,,,,,,,,,,,,,21%-40%,2023-03-02 13:06:29,2023-03-02 13:10:27,0e166383cc,
npoxsinnboqczuubhinpoxehhvzh3m2s,,,,,,,,,,Circomspect,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,,,Logic errors,,,,,,,,,,,,Oracle manipulation,,,,,,,,3,Static Analyzer,Fuzzer,Symbolic Executor,Formal Verification tool,,Manual Auditing,,,"Using offline tools (e.g., static analyzers and fuzzers)",,Yes and it open-source some of them,Slither,,,,,,,,,,,,,,,,,,,,Auditors and developers,,21%-40%,2023-03-02 13:00:57,2023-03-02 13:05:46,0e166383cc,
sncb61v3d61o3iprroff4dsncb6m08ch,"IDE (e.g., Remix)",,"Static analysis (e.g., slither)",,"Symbolic execution (e.g., Mythril)",,,,"Developers toolkits (e.g., hardhat/foundry)",,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Reentrancy,Absence of coding logic or sanity check,Logic errors,,,,,,,,,,Absence of coding logic or sanity check,Logic errors,,,,Improper asset locks or frozen asset,,,,,3,Static Analyzer,,,,,Manual Auditing,Runtime monitoring,,"Using offline tools (e.g., static analyzers and fuzzers)",,Yes and it open-source some of them,,,,,,,,,,,,,,,,,,,"Other runtime monitoring (e.g., forta)",contract library etc,,,0%-20%,2023-03-02 11:17:42,2023-03-02 11:35:37,0b003c972b,
6m691vbuqme5wpjki606m691v0okv23q,"IDE (e.g., Remix)",,"Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)",,,,"Developers toolkits (e.g., hardhat/foundry)",,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Reentrancy,,Logic errors,,,,,,,Integer Overflow and Underflow,,,Absence of coding logic or sanity check,Logic errors,,,,,,,,,3,Static Analyzer,,,,,Manual Auditing,,"Running/Extending Tests (e.g., unit testing, integration testing)","Using offline tools (e.g., static analyzers and fuzzers)",,Yes,,,,,Foundry's propert-based fuzzer,,,,,,,,,,,,,,,our static analyzer + symbolic execution tool,,,0%-20%,2023-02-22 20:40:01,2023-02-22 20:53:25,5ede6b7528,
